project_id,company_name,company_tier,year,quarter,country,state,city,location_region,client_name,client_industry,sector,subsector,project_type,delivery_method,project_status,award_date,start_date,end_date,duration_months,contract_value_total,recognized_revenue_year,backlog_begin,backlog_end,total_cost,labor_cost_total,material_cost_total,equipment_cost_total,subcontractor_cost_total,overhead_cost_total,sgna_cost,contingency_cost,headcount_total,headcount_field,headcount_office,avg_hourly_rate_field,avg_hourly_rate_office,labor_hours_total,gross_margin,gross_margin_pct,ebitda,ebitda_margin_pct,operating_income,operating_margin_pct,num_competitors_bid,joint_venture_flag,company_share_in_jv_pct,currency
P0001,EMCOR Group,tier_1,2016,2,USA,VA,Ashburn,South,Commercial REIT Client,Private,Industrial,Manufacturing,New Build,Lump Sum,Completed,2016-01-17,2016-02-04,2016-08-02,6,4750293,4750293.0,0.0,0.0,3860307.38,1211239.57,1547661.1,148811.47,474477.15,265994.45,172664.81,39458.83,113,92,21,51.73,45.59,23414,889985.62,0.1874,717320.8,0.151,665577.49,0.1401,4,1,0.57,USD
P0002,EMCOR GROUP.,tier_1,2021,3,USA,GA,Atlanta,South,Amazon Web Services,Private,Commercial,Retail,Maintenance,EPC,Awarded,2021-08-24,2021-11-15,2022-06-13,7,33810855,26274003.2,5705205.14,7536851.8,34394885.32,12702688.26,10372499.39,1947573.94,5509156.48,1850832.92,1550268.51,461865.82,47,39,8,54.24,70.33,234194,-584030.32,-0.0173,-2134298.83,-0.0631,-2541574.87,-0.0752,4,1,0.67,USD
P0003,emcor group,tier_1,2018,4,USA,GA,Atlanta,South,Kaiser Permanente,Private,Infrastructure,Energy,New Build,Cost-Plus,Completed,2018-05-06,2018-06-10,2019-12-02,18,22921369,22921369.0,0.0,0.0,22833040.63,6434323.29,9132526.73,1421124.6,3110314.58,1315332.9,1038006.98,381411.55,14,11,3,42.43,42.32,151645,88328.37,0.0039,-949678.61,-0.0414,-1116786.41,-0.0487,5,1,0.53,USD
P0004,Emcor Grp,tier_1,2022,1,USA,GA,Atlanta,South,Small muni client,Private,Healthcare,Hospitals,Maintenance,Cost-Plus,Awarded,2022-10-15,2023-01-06,2024-01-01,12,7401833,2734596.43,3445402.25,4667236.57,6925223.76,2513086.7,2326137.6,438015.65,860090.36,517336.54,178753.91,91802.99,30,23,7,42.98,42.22,58471,476609.24,0.0644,297855.33,0.0402,204904.43,0.0277,4,1,0.72,USD
P0005,Emcor group,tier_1,2017,3,USA,VA,Ashburn,South,local university,Private,Infrastructure,Energy,Maintenance,Lump Sum,In Progress,2017-03-22,2017-06-03,2017-10-01,4,22580557,10850527.86,9996829.98,11730029.14,23253440.49,8413753.73,8611726.34,974790.28,2936795.89,838779.07,1069840.49,407754.7,29,20,9,36.2,73.37,232424,-672883.49,-0.0298,-1742723.98,-0.0772,-1923017.26,-0.0852,5,0,1.0,USD
P0006,"Quanta Services, Inc.",tier_1,2016,3,USA,NY,New York,Northeast,Amazon Web Services,Private,Infrastructure,Transportation,New Build,Cost-Plus,Completed,2016-02-13,2016-05-31,2017-12-22,19,113264368,113264368.0,0.0,0.0,114254882.1,39706378.25,44931711.34,6414762.42,10485567.93,6386981.44,5482613.88,846866.85,87,61,26,37.51,58.88,1058554,-990514.1,-0.0087,-6473127.98,-0.0572,-7637116.2,-0.0674,6,0,1.0,USD
P0007,"Quanta Services, Inc.",tier_1,2022,4,USA,TX,Dallas,South,Local Univ.,Private,Healthcare,Labs,Expansion,Lump Sum,Awarded,2022-02-02,2022-04-01,2022-07-30,4,17647439,13492725.82,3155509.47,4154713.18,14602381.42,5543579.34,5021000.11,723736.81,1537079.74,974917.21,474155.86,327912.36,95,68,27,46.02,65.32,120460,3045057.58,0.1725,2570901.71,0.1457,2330960.88,0.1321,5,1,0.55,USD
P0008,Quanta Services,tier_1,2022,1,Canada,ON,Toronto,Canada,Duke Energy,Private,Healthcare,Clinics,Expansion,Design-Build,In Progress,2022-01-28,2022-05-09,2024-04-28,24,21131176,12447513.21,6683261.98,8683662.79,19146328.11,7976309.65,5594746.8,1059328.34,2407480.39,1362261.44,580255.54,165945.95,41,33,8,33.96,68.28,234873,1984847.89,0.0939,1404592.35,0.0665,1204139.15,0.057,5,0,1.0,USD
P0009,Quanta services,tier_1,2024,3,USA,VA,Ashburn,South,Midwest Manufacturing Co.,Private,Commercial,Office,Retrofit,Design-Build,In Progress,2024-04-19,2024-06-24,2024-11-21,5,3250883,1327398.06,1664714.33,1923484.94,2679539.22,800828.82,813771.78,160987.26,561270.83,199621.04,92837.02,50222.48,72,45,27,39.71,73.9,20166,571343.78,0.1758,478506.76,0.1472,438504.47,0.1349,5,0,1.0,USD
P0010,Quanta services,tier_1,2016,4,USA,NY,New York,Northeast,Meta Platforms,Private,Data Centers,Enterprise,Retrofit,Lump Sum,Completed,2016-04-05,2016-04-28,2018-03-19,23,100101311,100101311.0,0.0,0.0,93118816.3,23110763.86,37965712.54,5023962.43,17433605.56,5284049.55,3740542.92,560179.44,94,70,24,45.59,72.71,506926,6982494.7,0.0698,3241951.78,0.0324,2659378.76,0.0266,2,1,0.54,USD
